metabolite_key	metabolite_name	direction	hedges_g	original_fdr	gene_symbol	uniprot_accession	relationship_type	role_in_written_reaction	mapping_tier	ec_number	reaction_summary_cn	compartment	source_url	human_protein_url	relation_id	scope_note	gene_expression_status	patient_correlation_status	functional_target_status
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	FOLH1	Q04609	酶	水解产物	A	3.4.17.21	NAAG或γ-Glu-Glu等底物的水解释放末端谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.4.17.21	https://www.uniprot.org/uniprotkb/Q04609/entry	R031	人源直接反应候选；乳腺组织是否有相应活性尚未测定。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	GCLC	P48506	酶	转化底物	A	6.3.2.2	半胱氨酸和谷氨酸在ATP参与下生成γ-谷氨酰半胱氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/6.3.2.2	https://www.uniprot.org/uniprotkb/P48506/entry	R005	GCLC直接接半胱氨酸/谷氨酸；它不是一步生成最终GSH的酶，GCLM是辅助亚基，未作催化酶收录。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	GLS	O94925	酶	生成产物	A	3.5.1.2	谷氨酰胺经水解生成谷氨酸和铵。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.2	https://www.uniprot.org/uniprotkb/O94925/entry	R001	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	GLS2	Q9UI32	酶	生成产物	A	3.5.1.2	谷氨酰胺经水解生成谷氨酸和铵。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.2	https://www.uniprot.org/uniprotkb/Q9UI32/entry	R001	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	GLUL	P15104	酶	转化底物	A	6.3.1.2	谷氨酸与铵在ATP参与下合成谷氨酰胺。	未逐基因核定	https://rest.uniprot.org/uniprotkb/P15104.txt	https://www.uniprot.org/uniprotkb/P15104/entry	R002	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	GOT1	P17174	酶	可逆反应参与物	A	2.6.1.1	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.1	https://www.uniprot.org/uniprotkb/P17174/entry	R004	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	GOT2	P00505	酶	可逆反应参与物	A	2.6.1.1	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.1	https://www.uniprot.org/uniprotkb/P00505/entry	R004	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	OAT	P04181	酶	可逆反应参与物	A	2.6.1.13	鸟氨酸与2-氧戊二酸转氨生成谷氨酸-5-半醛和谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.13	https://www.uniprot.org/uniprotkb/P04181/entry	R013	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	SLC7A11	Q9UPY5	转运体	直接交换底物	A		人xCT介导胱氨酸/谷氨酸交换。	细胞膜	https://rest.uniprot.org/uniprotkb/Q9UPY5.txt	https://www.uniprot.org/uniprotkb/Q9UPY5/entry	R081	SLC3A2为共享辅助重链；未把它作为胱氨酸专属直接运输亚基收录。	未分析	未分析	未评价
KEGG:C00025	glutamate	升高	1.76291003863997	2.72915698370918e-10	TAT	P17735	酶	可逆反应参与物	A	2.6.1.5	酪氨酸转氨连接4-羟基苯丙酮酸与谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.5	https://www.uniprot.org/uniprotkb/P17735/entry	R023	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00037	glycine	升高	0.783851905214094	0.000136008537199557	GSS	P48637	酶	转化底物	A	6.3.2.3	γ-谷氨酰半胱氨酸与甘氨酸在ATP参与下生成GSH。	未逐基因核定	https://enzyme.expasy.org/EC/6.3.2.3	https://www.uniprot.org/uniprotkb/P48637/entry	R006	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00037	glycine	升高	0.783851905214094	0.000136008537199557	PEPD	P12955	酶	水解产物	A	3.4.13.9	Gly-Pro属于X-Pro二肽底物，水解得到甘氨酸和脯氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.4.13.9	https://www.uniprot.org/uniprotkb/P12955/entry	R032	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00037	glycine	升高	0.783851905214094	0.000136008537199557	SHMT1	P34896	酶	可逆反应参与物	A	2.1.2.1	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.2.1	https://www.uniprot.org/uniprotkb/P34896/entry	R008	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00037	glycine	升高	0.783851905214094	0.000136008537199557	SHMT2	P34897	酶	可逆反应参与物	A	2.1.2.1	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.2.1	https://www.uniprot.org/uniprotkb/P34897/entry	R008	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00047	lysine	降低	-0.982175022952955	2.0874892423049e-05	AASS	Q9UDR5	酶	可逆反应参与物	A	1.5.1.8	赖氨酸与2-氧戊二酸通过AASS的赖氨酸-酮戊二酸还原酶活性连接酵母氨酸（saccharopine）。	未逐基因核定	https://enzyme.expasy.org/EC/1.5.1.8	https://www.uniprot.org/uniprotkb/Q9UDR5/entry	R018	酶条目命名及数据库反应按可逆形式；人体通常讨论赖氨酸降解方向，未据此推断肿瘤通量。	未分析	未分析	未评价
KEGG:C00049	aspartate	升高	1.54594696706781	3.98041506834046e-09	ASNS	P08243	酶	转化底物	A	6.3.5.4	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	未逐基因核定	https://www.kegg.jp/entry/6.3.5.4	https://www.uniprot.org/uniprotkb/P08243/entry	R003	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00049	aspartate	升高	1.54594696706781	3.98041506834046e-09	ASS1	P00966	酶	转化底物	A	6.3.4.5	瓜氨酸、天冬氨酸和ATP参与精氨琥珀酸合成。	未逐基因核定	https://enzyme.expasy.org/EC/6.3.4.5	https://www.uniprot.org/uniprotkb/P00966/entry	R011	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00049	aspartate	升高	1.54594696706781	3.98041506834046e-09	GOT1	P17174	酶	可逆反应参与物	A	2.6.1.1	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.1	https://www.uniprot.org/uniprotkb/P17174/entry	R004	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00049	aspartate	升高	1.54594696706781	3.98041506834046e-09	GOT2	P00505	酶	可逆反应参与物	A	2.6.1.1	天冬氨酸与2-氧戊二酸的转氨反应，另一侧为草酰乙酸与谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.1	https://www.uniprot.org/uniprotkb/P00505/entry	R004	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00051	glutathione, reduced (GSH)	升高	0.540062415660483	0.00140809120350618	GSR	P00390	酶	还原反应产物	A	1.8.1.7	氧化型谷胱甘肽在NADPH参与下还原为GSH。	未逐基因核定	https://enzyme.expasy.org/EC/1.8.1.7	https://www.uniprot.org/uniprotkb/P00390/entry	R007	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00051	glutathione, reduced (GSH)	升高	0.540062415660483	0.00140809120350618	GSS	P48637	酶	生成产物	A	6.3.2.3	γ-谷氨酰半胱氨酸与甘氨酸在ATP参与下生成GSH。	未逐基因核定	https://enzyme.expasy.org/EC/6.3.2.3	https://www.uniprot.org/uniprotkb/P48637/entry	R006	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	升高	0.710486686350943	8.78399974813662e-05	CEPT1	Q9Y6K0	酶	反应产物	A	2.7.8.2	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.8.2	https://www.uniprot.org/uniprotkb/Q9Y6K0/entry	R053	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。	未分析	未分析	未评价
KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	升高	0.710486686350943	8.78399974813662e-05	CHPT1	Q8WUD6	酶	反应产物	A	2.7.8.2	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.8.2	https://www.uniprot.org/uniprotkb/Q8WUD6/entry	R053	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。	未分析	未分析	未评价
KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	升高	0.710486686350943	8.78399974813662e-05	CMPK1	P30085	酶	转化底物	A	2.7.4.14	CMP磷酸化生成CDP。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.4.14	https://www.uniprot.org/uniprotkb/P30085/entry	R071	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00055	cytidine 5'-monophosphate (5'-CMP)	升高	0.710486686350943	8.78399974813662e-05	CMPK2	Q5EBM0	酶	转化底物	A	2.7.4.14	CMP磷酸化生成CDP。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.4.14	https://www.uniprot.org/uniprotkb/Q5EBM0/entry	R071	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00062	arginine	降低	-0.688564831222648	0.000884357736472899	ARG1	P05089	酶	转化底物	A	3.5.3.1	精氨酸水解生成鸟氨酸和尿素。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.3.1	https://www.uniprot.org/uniprotkb/P05089/entry	R009	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00062	arginine	降低	-0.688564831222648	0.000884357736472899	ARG2	P78540	酶	转化底物	A	3.5.3.1	精氨酸水解生成鸟氨酸和尿素。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.3.1	https://www.uniprot.org/uniprotkb/P78540/entry	R009	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00064	glutamine	降低	-1.64592808836308	1.000340954773e-10	ASNS	P08243	酶	供氮底物	A	6.3.5.4	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	未逐基因核定	https://www.kegg.jp/entry/6.3.5.4	https://www.uniprot.org/uniprotkb/P08243/entry	R003	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00064	glutamine	降低	-1.64592808836308	1.000340954773e-10	GLS	O94925	酶	转化底物	A	3.5.1.2	谷氨酰胺经水解生成谷氨酸和铵。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.2	https://www.uniprot.org/uniprotkb/O94925/entry	R001	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00064	glutamine	降低	-1.64592808836308	1.000340954773e-10	GLS2	Q9UI32	酶	转化底物	A	3.5.1.2	谷氨酰胺经水解生成谷氨酸和铵。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.2	https://www.uniprot.org/uniprotkb/Q9UI32/entry	R001	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00064	glutamine	降低	-1.64592808836308	1.000340954773e-10	GLUL	P15104	酶	生成产物	A	6.3.1.2	谷氨酸与铵在ATP参与下合成谷氨酰胺。	未逐基因核定	https://rest.uniprot.org/uniprotkb/P15104.txt	https://www.uniprot.org/uniprotkb/P15104/entry	R002	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00065	serine	升高	0.366302117488738	0.0449816966610649	SHMT1	P34896	酶	可逆反应参与物	A	2.1.2.1	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.2.1	https://www.uniprot.org/uniprotkb/P34896/entry	R008	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00065	serine	升高	0.366302117488738	0.0449816966610649	SHMT2	P34897	酶	可逆反应参与物	A	2.1.2.1	丝氨酸与四氢叶酸之间的一碳转移反应连接甘氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.2.1	https://www.uniprot.org/uniprotkb/P34897/entry	R008	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00073	methionine	降低	-0.428906532899064	0.0464057055545984	MAT1A	Q00266	酶	转化底物	A	2.5.1.6	甲硫氨酸与ATP参与SAM合成。	未逐基因核定	https://enzyme.expasy.org/EC/2.5.1.6	https://www.uniprot.org/uniprotkb/Q00266/entry	R030	不把调节亚基MAT2B当作独立催化基因。	未分析	未分析	未评价
KEGG:C00073	methionine	降低	-0.428906532899064	0.0464057055545984	MAT2A	P31153	酶	转化底物	A	2.5.1.6	甲硫氨酸与ATP参与SAM合成。	未逐基因核定	https://enzyme.expasy.org/EC/2.5.1.6	https://www.uniprot.org/uniprotkb/P31153/entry	R030	不把调节亚基MAT2B当作独立催化基因。	未分析	未分析	未评价
KEGG:C00077	ornithine	降低	-0.430648438682791	0.0158005290812611	ARG1	P05089	酶	生成产物	A	3.5.3.1	精氨酸水解生成鸟氨酸和尿素。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.3.1	https://www.uniprot.org/uniprotkb/P05089/entry	R009	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00077	ornithine	降低	-0.430648438682791	0.0158005290812611	ARG2	P78540	酶	生成产物	A	3.5.3.1	精氨酸水解生成鸟氨酸和尿素。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.3.1	https://www.uniprot.org/uniprotkb/P78540/entry	R009	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00077	ornithine	降低	-0.430648438682791	0.0158005290812611	OAT	P04181	酶	可逆反应参与物	A	2.6.1.13	鸟氨酸与2-氧戊二酸转氨生成谷氨酸-5-半醛和谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.13	https://www.uniprot.org/uniprotkb/P04181/entry	R013	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00077	ornithine	降低	-0.430648438682791	0.0158005290812611	ODC1	P11926	酶	转化底物	A	4.1.1.17	鸟氨酸脱羧生成腐胺。	未逐基因核定	https://enzyme.expasy.org/EC/4.1.1.17	https://www.uniprot.org/uniprotkb/P11926/entry	R012	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00077	ornithine	降低	-0.430648438682791	0.0158005290812611	OTC	P00480	酶	转化底物	A	2.1.3.3	鸟氨酸与氨甲酰磷酸生成瓜氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.1.3.3	https://www.uniprot.org/uniprotkb/P00480/entry	R010	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00079	phenylalanine	降低	-0.469142917512108	0.0101221188490363	PAH	P00439	酶	转化底物	A	1.14.16.1	苯丙氨酸羟化生成酪氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.14.16.1	https://www.uniprot.org/uniprotkb/P00439/entry	R022	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00082	tyrosine	降低	-0.499377969390247	0.00811684068329682	PAH	P00439	酶	生成产物	A	1.14.16.1	苯丙氨酸羟化生成酪氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.14.16.1	https://www.uniprot.org/uniprotkb/P00439/entry	R022	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00082	tyrosine	降低	-0.499377969390247	0.00811684068329682	TAT	P17735	酶	可逆反应参与物	A	2.6.1.5	酪氨酸转氨连接4-羟基苯丙酮酸与谷氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.6.1.5	https://www.uniprot.org/uniprotkb/P17735/entry	R023	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00095	fructose	升高	0.53615495468509	0.00626489912969241	KHK	P50053	酶	转化底物	A	2.7.1.3	果糖磷酸化生成果糖1-磷酸；不是果糖6-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.3	https://www.uniprot.org/uniprotkb/P50053/entry	R042	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00095	fructose	升高	0.53615495468509	0.00626489912969241	SORD	Q00796	酶	可逆反应参与物	A	1.1.1.14	山梨醇脱氢反应连接果糖。	未逐基因核定	https://enzyme.expasy.org/EC/1.1.1.14	https://www.uniprot.org/uniprotkb/Q00796/entry	R043	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00097	cysteine	升高	0.866773174635486	6.35760872688901e-05	CDO1	Q16878	酶	转化底物	A	1.13.11.20	半胱氨酸氧化生成半胱氨酸亚磺酸。	未逐基因核定	https://enzyme.expasy.org/EC/1.13.11.20	https://www.uniprot.org/uniprotkb/Q16878/entry	R028	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00097	cysteine	升高	0.866773174635486	6.35760872688901e-05	GCLC	P48506	酶	转化底物	A	6.3.2.2	半胱氨酸和谷氨酸在ATP参与下生成γ-谷氨酰半胱氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/6.3.2.2	https://www.uniprot.org/uniprotkb/P48506/entry	R005	GCLC直接接半胱氨酸/谷氨酸；它不是一步生成最终GSH的酶，GCLM是辅助亚基，未作催化酶收录。	未分析	未分析	未评价
KEGG:C00099	beta-alanine	升高	0.82331958223315	6.74264531314709e-05	UPB1	Q9UBR1	酶	生成产物	A	3.5.1.6	N-氨甲酰-β-丙氨酸水解生成β-丙氨酸。	未逐基因核定	https://enzyme.expasy.org/EC/3.5.1.6	https://www.uniprot.org/uniprotkb/Q9UBR1/entry	R033	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00106	uracil	升高	1.49866532572328	3.98041506834046e-09	DPYD	Q12882	酶	可逆氧化还原参与物	A	1.3.1.2	尿嘧啶与5,6-二氢尿嘧啶之间的氧化还原反应。	未逐基因核定	https://enzyme.expasy.org/EC/1.3.1.2	https://www.uniprot.org/uniprotkb/Q12882/entry	R069	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00106	uracil	升高	1.49866532572328	3.98041506834046e-09	UPP1	Q16831	酶	可逆磷酸解参与物	A	2.4.2.3	尿苷磷酸解连接尿嘧啶和核糖1-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.3	https://www.uniprot.org/uniprotkb/Q16831/entry	R068	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00106	uracil	升高	1.49866532572328	3.98041506834046e-09	UPP2	O95045	酶	可逆磷酸解参与物	A	2.4.2.3	尿苷磷酸解连接尿嘧啶和核糖1-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.4.2.3	https://www.uniprot.org/uniprotkb/O95045/entry	R068	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00114	choline	降低	-1.03824245330727	7.12176546566802e-06	CHKA	P35790	酶	转化底物	A	2.7.1.32	胆碱磷酸化生成磷酸胆碱。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.32	https://www.uniprot.org/uniprotkb/P35790/entry	R051	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00114	choline	降低	-1.03824245330727	7.12176546566802e-06	CHKB	Q9Y259	酶	转化底物	A	2.7.1.32	胆碱磷酸化生成磷酸胆碱。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.32	https://www.uniprot.org/uniprotkb/Q9Y259/entry	R051	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00114	choline	降低	-1.03824245330727	7.12176546566802e-06	GDPD5	Q8WTR4	酶	水解产物	A	3.1.4.2	甘油磷酸胆碱水解产生甘油3-磷酸与胆碱。	未逐基因核定	https://enzyme.expasy.org/EC/3.1.4.2	https://www.uniprot.org/uniprotkb/Q8WTR4/entry	R054	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00114	choline	降低	-1.03824245330727	7.12176546566802e-06	GPCPD1	Q9NPB8	酶	水解产物	A	3.1.4.2	甘油磷酸胆碱水解产生甘油3-磷酸与胆碱。	未逐基因核定	https://enzyme.expasy.org/EC/3.1.4.2	https://www.uniprot.org/uniprotkb/Q9NPB8/entry	R054	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
KEGG:C00121	ribose	升高	0.779317030166634	0.00127391072102789	RBKS	Q9H477	酶	转化底物	A	2.7.1.15	核糖磷酸化生成核糖5-磷酸。	未逐基因核定	https://enzyme.expasy.org/EC/2.7.1.15	https://www.uniprot.org/uniprotkb/Q9H477/entry	R048	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。	未分析	未分析	未评价
