feature_name	gene	mapping_class	source_url	limitation	GSE263733	GSE278688	GSE242230	n_evaluable_cohorts	max_top_agreement	interpretation	evidence_scope
thymidine 3'-monophosphate	NT5C	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q8TCD5/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	DGUOK	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q16854/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	T/NK	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	NT5C2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P49902/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyinosine	NT5C2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P49902/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyinosine	NT5C2	CONDITIONAL	https://www.uniprot.org/uniprotkb/P49902/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Epithelial/Ductal	Epithelial/Ductal	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	NT5M	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9NPB1/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	T/NK	Fibroblast/CAF	3	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
thymidine	NT5M	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9NPB1/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	T/NK	Fibroblast/CAF	3	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
thymidine 3'-monophosphate	NT5M	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9NPB1/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	T/NK	Fibroblast/CAF	3	1	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	SAMHD1	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9Y3Z3/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
thymidine	SAMHD1	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9Y3Z3/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	SLC22A7	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9Y694/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NOT_EVALUABLE	NOT_EVALUABLE	NOT_EVALUABLE	0	0	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyguanosine	PNP	CONDITIONAL	https://www.uniprot.org/uniprotkb/P00491/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Endothelial	Endothelial	Erythrocyte	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyinosine	PNP	CONDITIONAL	https://www.uniprot.org/uniprotkb/P00491/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Endothelial	Endothelial	Erythrocyte	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2'-deoxyinosine	ADA	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P00813/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	T/NK	T/NK	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-linoleoylglycerol (2-monolinolein)	ABHD16A	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O95870/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	ABHD16A	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O95870/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-palmitoylglycerol (16:0)	ABHD16A	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O95870/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
glycerol	ABHD16A	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O95870/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-linoleoylglycerol (2-monolinolein)	ABHD6	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-myristoylglycerol (2-monomyristin)	ABHD6	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	ABHD6	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-palmitoylglycerol (16:0)	ABHD6	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-stearoylglycerol (2-monostearin)	ABHD6	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Generic substrate-class or adjacent-context annotation; exact measured species specificity not established; not in primary family	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
glycerol	ABHD6	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9BV23/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Myeloid	Myeloid	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-linoleoylglycerol (2-monolinolein)	DAGLA	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9Y4D2/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Epithelial/Ductal	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DAGLA	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9Y4D2/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Epithelial/Ductal	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-stearoylglycerol (2-monostearin)	DAGLA	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q9Y4D2/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	Epithelial/Ductal	Epithelial/Ductal	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-linoleoylglycerol (2-monolinolein)	DAGLB	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8NCG7/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DAGLB	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8NCG7/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-stearoylglycerol (2-monostearin)	DAGLB	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q8NCG7/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Endothelial	Myeloid	Myeloid	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	AWAT2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q6E213/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	NOT_EVALUABLE	NOT_EVALUABLE	NOT_EVALUABLE	0	0	COHORT_DEPENDENT_OR_NOT_EVALUABLE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DGAT1	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/O75907/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Epithelial/Ductal	Endothelial	Endothelial	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DGAT1	CONDITIONAL	https://www.uniprot.org/uniprotkb/O75907/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Epithelial/Ductal	Endothelial	Endothelial	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DGAT2	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/Q96PD7/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	Myeloid	B/Plasma	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DGAT2	CONDITIONAL	https://www.uniprot.org/uniprotkb/Q96PD7/entry	Exact annotation lacks reaction-specific experimental evidence tag; inference-only candidate retained pending specificity review	Myeloid	B/Plasma	B/Plasma	3	2	TWO_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
2-oleoylglycerol (2-monoolein)	DGKA	DIRECT_ANNOTATION	https://www.uniprot.org/uniprotkb/P23743/entry	Inherited author chemical identity; name/ID-compatible database mapping, stereochemistry not experimentally revalidated	T/NK	T/NK	T/NK	3	3	THREE_COHORT_DESCRIPTIVE_CONCORDANCE	Descriptive gene expression source;not metabolite production or exact-relation validation
