cancer	cohort	stable_gene_id	gene	measured_feature_id	mapping_policy	mapping_version	status	reason	source_id
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q8N9L9	ACOT4	ACOT4	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O00154	ACOT7	ACOT7	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O14734	ACOT8	ACOT8	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9Y305	ACOT9	ACOT9	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O95573	ACSL3	ACSL3	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q08AH1	ACSM1	ACSM1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q08AH3	ACSM2A	ACSM2A	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q68CK6	ACSM2B	ACSM2B	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P0C7M7	ACSM4	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	NOT_EVALUABLE	MISSING_OR_AMBIGUOUS	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q96HD9	ACY3	ACY3	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P00813	ADA	ADA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9NZK5	ADA2	ADA2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P07327	ADH1A	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P00325	ADH1B	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P00326	ADH1C	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P08319	ADH4	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P11766	ADH5	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P28332	ADH6	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P40394	ADH7	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q8IWW8	ADHFE1	ADHFE1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q3LIE5	ADPRM	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9BSE5	AGMAT	AGMAT	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P21549	AGXT	AGXT	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9BYV1	AGXT2	AGXT2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P23526	AHCY	AHCY	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O95831	AIFM1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9BRQ8	AIFM2	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P27144	AK4	AK4	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q5TCS8	AK9	AK9	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P14550	AKR1A1	AKR1A1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P15121	AKR1B1	AKR1B1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q04828	AKR1C1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P52895	AKR1C2	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P42330	AKR1C3	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P17516	AKR1C4	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O43488	AKR7A2	AKR7A2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P00352	ALDH1A1	ALDH1A1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O94788	ALDH1A2	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P47895	ALDH1A3	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P30837	ALDH1B1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P05091	ALDH2	ALDH2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P30838	ALDH3A1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P51648	ALDH3A2	ALDH3A2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P43353	ALDH3B1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P30038	ALDH4A1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P51649	ALDH5A1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q02252	ALDH6A1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P49419	ALDH7A1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9H2A2	ALDH8A1	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P49189	ALDH9A1	ALDH9A1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q13686	ALKBH1	ALKBH1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q6NS38	ALKBH2	ALKBH2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q96Q83	ALKBH3	ALKBH3	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9NXW9	ALKBH4	ALKBH4	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q6P6C2	ALKBH5	ALKBH5	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9BT30	ALKBH7	ALKBH7	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q96BT7	ALKBH8	ALKBH8	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9BQD7	ANTKMT	ANTKMT	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P19801	AOC1	AOC1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P29972	AQP1	AQP1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q96PS8	AQP10	AQP10	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q8NBQ7	AQP11	AQP11	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P41181	AQP2	AQP2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q92482	AQP3	AQP3	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O14520	AQP7	AQP7	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:A0A075B734	AQP7B	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	NOT_EVALUABLE	MISSING_OR_AMBIGUOUS	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:O43315	AQP9	AQP9	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P05089	ARG1	ARG1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P78540	ARG2	ARG2	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9HBK9	AS3MT	AS3MT	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q13510	ASAH1	ASAH1	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9NR71	ASAH2	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	NOT_EVALUABLE	MISSING_OR_AMBIGUOUS	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q9NR48	ASH1L	ASH1L	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P46597	ASMT	ASMT	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:P08243	ASNS	NA	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	ACCESS_BLOCKED	Additional history-union gene needs server matrix labels	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q86U10	ASPG	ASPG	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
PDAC	CAMP_PDAC_GSE62452	UniProtKB:Q12797	ASPH	ASPH	Historical exact canonical or unique reviewed alias;not freshly re-executed	PDAC_CAMP_source_SOP_v3	DONE	EXACT_CANONICAL	results/PDAC/03_PATIENT/20260922T053500Z_internal_paired51_v2
