relation_id	ec_number	genes	human_uniprot	reaction_summary_cn	mapping_tier	source_url	source_read_status	note	access_date
R031	3.4.17.21	FOLH1	Q04609	NAAG或γ-Glu-Glu等底物的水解释放末端谷氨酸。	A	https://enzyme.expasy.org/EC/3.4.17.21	本轮已访问反应条目或人类基因/蛋白记录	人源直接反应候选；乳腺组织是否有相应活性尚未测定。	2026-09-11
R032	3.4.13.9	PEPD	P12955	Gly-Pro属于X-Pro二肽底物，水解得到甘氨酸和脯氨酸。	A	https://enzyme.expasy.org/EC/3.4.13.9	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R033	3.5.1.6	UPB1	Q9UBR1	N-氨甲酰-β-丙氨酸水解生成β-丙氨酸。	A	https://enzyme.expasy.org/EC/3.5.1.6	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R034	5.3.1.8	MPI	P34949	甘露糖6-磷酸与果糖6-磷酸异构。	A	https://enzyme.expasy.org/EC/5.3.1.8	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R035	5.4.2.8	PMM1 ; PMM2	Q92871 ; O15305	甘露糖1-磷酸与甘露糖6-磷酸互变。	A	https://enzyme.expasy.org/EC/5.4.2.8	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R036	2.7.1.59	NAGK	Q9UJ70	N-乙酰葡糖胺磷酸化生成N-乙酰葡糖胺6-磷酸。	A	https://enzyme.expasy.org/EC/2.7.1.59	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R037	5.4.2.3	PGM3	O95394	N-乙酰葡糖胺6-磷酸与1-磷酸互变。	A	https://enzyme.expasy.org/EC/5.4.2.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R038	3.5.1.25	AMDHD2	Q9Y303	N-乙酰葡糖胺6-磷酸脱乙酰生成葡糖胺6-磷酸。	A	https://enzyme.expasy.org/EC/3.5.1.25	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R039	2.3.1.4	GNPNAT1	Q96EK6	葡糖胺6-磷酸乙酰化生成N-乙酰葡糖胺6-磷酸。	A	https://enzyme.expasy.org/EC/2.3.1.4	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R040	4.1.3.3	NPL	Q9BXD5	N-乙酰神经氨酸裂解为N-乙酰甘露糖胺与丙酮酸。	A	https://enzyme.expasy.org/EC/4.1.3.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R041	2.7.7.43	CMAS	Q8NFW8	N-乙酰神经氨酸与CTP生成CMP活化的唾液酸。	A	https://enzyme.expasy.org/EC/2.7.7.43	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R042	2.7.1.3	KHK	P50053	果糖磷酸化生成果糖1-磷酸；不是果糖6-磷酸。	A	https://enzyme.expasy.org/EC/2.7.1.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R043	1.1.1.14	SORD	Q00796	山梨醇脱氢反应连接果糖。	A	https://enzyme.expasy.org/EC/1.1.1.14	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R044	5.3.1.9	GPI	P06744	葡萄糖6-磷酸与果糖6-磷酸异构。	A	https://enzyme.expasy.org/EC/5.3.1.9	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R045	2.7.1.11	PFKM ; PFKL ; PFKP	P08237 ; P17858 ; Q01813	果糖6-磷酸磷酸化生成果糖1,6-二磷酸。	A	https://enzyme.expasy.org/EC/2.7.1.11	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R046	1.1.1.27	LDHA ; LDHB	P00338 ; P07195	L-乳酸与丙酮酸的氧化还原反应。	A	https://enzyme.expasy.org/EC/1.1.1.27	本轮已访问反应条目或人类基因/蛋白记录	按原C00186注释映射L-乳酸；不是4-HPL的自动映射依据。	2026-09-11
R047	1.1.1.44	PGD	P52209	6-磷酸葡糖酸氧化脱羧连接核酮糖5-磷酸。	A	https://enzyme.expasy.org/EC/1.1.1.44	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R048	2.7.1.15	RBKS	Q9H477	核糖磷酸化生成核糖5-磷酸。	A	https://enzyme.expasy.org/EC/2.7.1.15	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R049	2.7.1.82	ETNK1 ; ETNK2 ; CHKA ; CHKB	Q9HBU6 ; Q9NVF9 ; P35790 ; Q9Y259	乙醇胺磷酸化生成磷酸乙醇胺。	A	https://enzyme.expasy.org/EC/2.7.1.82	本轮已访问反应条目或人类基因/蛋白记录	CHKA/CHKB也有该反应注释；酶名不代表单一底物专一性。	2026-09-11
R050	2.7.7.14	PCYT2	Q99447	磷酸乙醇胺与CTP生成CDP-乙醇胺。	A	https://enzyme.expasy.org/EC/2.7.7.14	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R051	2.7.1.32	CHKA ; CHKB	P35790 ; Q9Y259	胆碱磷酸化生成磷酸胆碱。	A	https://enzyme.expasy.org/EC/2.7.1.32	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R052	2.7.7.15	PCYT1A ; PCYT1B	P49585 ; Q9Y5K3	磷酸胆碱与CTP生成CDP-胆碱。	A	https://enzyme.expasy.org/EC/2.7.7.15	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R053	2.7.8.2	CHPT1 ; CEPT1	Q8WUD6 ; Q9Y6K0	CDP-胆碱与二酰甘油生成磷脂酰胆碱并释放CMP。	A	https://enzyme.expasy.org/EC/2.7.8.2	本轮已访问反应条目或人类基因/蛋白记录	CMP为该反应离去产物，不代表该酶是CMP代谢的专属调控点。	2026-09-11
R054	3.1.4.2	GPCPD1 ; GDPD5	Q9NPB8 ; Q8WTR4	甘油磷酸胆碱水解产生甘油3-磷酸与胆碱。	A	https://enzyme.expasy.org/EC/3.1.4.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R055	3.1.3.25	IMPA1 ; IMPA2	P29218 ; O14732	肌醇单磷酸脱磷酸生成肌醇。	A	https://enzyme.expasy.org/EC/3.1.3.25	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R056	2.5.1.21	FDFT1	P37268	两个法呢基二磷酸分子参与角鲨烯合成。	A	https://enzyme.expasy.org/EC/2.5.1.21	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R057	1.14.14.17	SQLE	Q14534	角鲨烯氧化为2,3-氧化角鲨烯。	A	https://enzyme.expasy.org/EC/1.14.14.17	本轮已访问反应条目或人类基因/蛋白记录	HMGCR位于更上游，不是本表角鲨烯的一步直接酶。	2026-09-11
R058	2.3.1.26	SOAT1 ; SOAT2	P35610 ; O75908	胆固醇酰化生成胆固醇酯。	A	https://enzyme.expasy.org/EC/2.3.1.26	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R059	2.7.1.91	SPHK1 ; SPHK2	Q9NYA1 ; Q9NRA0	鞘氨醇磷酸化生成鞘氨醇1-磷酸。	A	https://enzyme.expasy.org/EC/2.7.1.91	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R060	1.14.11.1	BBOX1	O75936	脱氧肉碱（γ-丁酰甜菜碱）羟化生成肉碱。	A	https://enzyme.expasy.org/EC/1.14.11.1	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R061	2.3.1.21	CPT1A ; CPT1B ; CPT2	P50416 ; Q92523 ; P23786	棕榈酰CoA与肉碱经酰基转移连接棕榈酰肉碱。	A	https://enzyme.expasy.org/EC/2.3.1.21	本轮已访问反应条目或人类基因/蛋白记录	同一化学反应的不同细胞区室节点；本轮没有测脂肪酸氧化通量。未把CPT1C当作等价催化酶。	2026-09-11
R062	2.3.1.137	CROT ; CRAT	Q9UKG9 ; P43155	辛酰CoA与肉碱的酰基转移连接C8酰基肉碱。	A	https://enzyme.expasy.org/EC/2.3.1.137	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R063	2.3.1.7	CRAT	P43155	肉碱酰基转移酶的丁酰CoA底物反应连接丁酰肉碱。	A	https://enzyme.expasy.org/EC/2.3.1.7	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R064	2.4.2.1	PNP	P00491	肌苷磷酸解连接次黄嘌呤；鸟苷磷酸解连接鸟嘌呤。	A	https://enzyme.expasy.org/EC/2.4.2.1	本轮已访问反应条目或人类基因/蛋白记录	本轮仅收录人PNP明确经典底物；不把黄苷或所有修饰核苷自动纳入。	2026-09-11
R065	3.5.4.4	ADA ; ADA2	P00813 ; Q9NZK5	腺苷脱氨生成肌苷。	A	https://enzyme.expasy.org/EC/3.5.4.4	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R066	2.4.2.8	HPRT1	P00492	次黄嘌呤/鸟嘌呤与PRPP连接IMP/GMP补救合成。	A	https://enzyme.expasy.org/EC/2.4.2.8	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R067	3.5.4.3	GDA	Q9Y2T3	鸟嘌呤脱氨生成黄嘌呤。	A	https://enzyme.expasy.org/EC/3.5.4.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R068	2.4.2.3	UPP1 ; UPP2	Q16831 ; O95045	尿苷磷酸解连接尿嘧啶和核糖1-磷酸。	A	https://enzyme.expasy.org/EC/2.4.2.3	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R069	1.3.1.2	DPYD	Q12882	尿嘧啶与5,6-二氢尿嘧啶之间的氧化还原反应。	A	https://enzyme.expasy.org/EC/1.3.1.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R070	3.5.2.2	DPYS	Q14117	5,6-二氢尿嘧啶开环水解。	A	https://enzyme.expasy.org/EC/3.5.2.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R071	2.7.4.14	CMPK1 ; CMPK2	P30085 ; Q5EBM0	CMP磷酸化生成CDP。	A	https://enzyme.expasy.org/EC/2.7.4.14	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R072	2.1.1.1	NNMT	P40261	烟酰胺接受SAM甲基，生成1-MNA与SAH。	A	https://enzyme.expasy.org/EC/2.1.1.1	本轮已访问反应条目或人类基因/蛋白记录	SAH是广泛甲基转移产物；仅保留与本次已选NNMT反应的显式关系，不扩展所有甲基转移酶。	2026-09-11
R073	2.4.2.12	NAMPT	P43490	烟酰胺与PRPP连接NMN补救合成。	A	https://enzyme.expasy.org/EC/2.4.2.12	本轮已访问反应条目或人类基因/蛋白记录	NAMPT不直接生成1-MNA，本轮只连接显著的烟酰胺条目。	2026-09-11
R074	2.7.1.33	PANK1 ; PANK2 ; PANK3	Q8TE04 ; Q9BZ23 ; Q9H999	泛酸磷酸化生成4-磷酸泛酸。	A	https://enzyme.expasy.org/EC/2.7.1.33	本轮已访问反应条目或人类基因/蛋白记录	不把缺少相同激酶活性的PANK4自动纳入。	2026-09-11
R075	2.7.1.26	RFK	Q969G6	核黄素磷酸化生成FMN。	A	https://enzyme.expasy.org/EC/2.7.1.26	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R076	2.3.3.1	CS	O75390	草酰乙酸与乙酰CoA缩合生成柠檬酸。	A	https://enzyme.expasy.org/EC/2.3.3.1	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R077	2.3.3.8	ACLY	P53396	ATP参与的柠檬酸/乙酰CoA-草酰乙酸转换。	A	https://enzyme.expasy.org/EC/2.3.3.8	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R078	1.1.1.37	MDH1 ; MDH2	P40925 ; P40926	苹果酸与草酰乙酸的氧化还原反应。	A	https://enzyme.expasy.org/EC/1.1.1.37	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R079	4.2.1.2	FH	P07954	苹果酸与延胡索酸的水合/脱水反应。	A	https://enzyme.expasy.org/EC/4.2.1.2	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R080	3.6.1.1	PPA1 ; PPA2	Q15181 ; Q9H2U2	无机焦磷酸水解为两个磷酸。	A	https://enzyme.expasy.org/EC/3.6.1.1	本轮已访问反应条目或人类基因/蛋白记录	磷酸/焦磷酸参与广泛反应；只列这一明确处理反应，不扩展所有ATP相关酶，也不据此称PPA为专属靶点。	2026-09-11
R081		SLC7A11	Q9UPY5	人xCT介导胱氨酸/谷氨酸交换。	A	https://rest.uniprot.org/uniprotkb/Q9UPY5.txt	本轮已访问反应条目或人类基因/蛋白记录	SLC3A2为共享辅助重链；未把它作为胱氨酸专属直接运输亚基收录。	2026-09-11
R082		SLC6A6	P31641	人钠/氯依赖牛磺酸转运体。	A	https://www.kegg.jp/entry/hsa:6533	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R083		SLC6A8	P48029	人肌酸转运体。	A	https://rest.uniprot.org/uniprotkb/P48029.txt	本轮已访问反应条目或人类基因/蛋白记录		2026-09-11
R084		CTNS	O60931	人cystinosin参与胱氨酸转运。	A	https://www.kegg.jp/entry/hsa:1497	本轮已访问反应条目或人类基因/蛋白记录	细胞器转运，不等于将胱氨酸排出整个细胞。	2026-09-11
R085	2.7.1.12	IDNK	Q5T6J7	D-葡糖酸在ATP参与下磷酸化为6-磷酸葡糖酸。	A	https://enzyme.expasy.org/EC/2.7.1.12	本轮已访问反应条目或人类基因/蛋白记录	人GNTK/IDNK对应Q5T6J7；仅为直接反应关系，不代表其在乳腺组织中表达或有通量。	2026-09-11
R086	3.2.1.20	MGAM	O43451	人MGAM可水解麦芽三糖生成麦芽糖和葡萄糖。	A	https://www.reactome.org/content/detail/R-HSA-191116	本轮已访问反应条目或人类基因/蛋白记录	原注释主要为小肠消化背景；不能将人源反应直接视为乳腺肿瘤内已发生的反应。	2026-09-11
R087	3.2.1.20	MGAM	O43451	人MGAM可水解麦芽糖生成葡萄糖。	A	https://www.reactome.org/content/detail/R-HSA-189102	本轮已访问反应条目或人类基因/蛋白记录	原注释主要为小肠消化背景；乳腺组织中的表达和底物来源未评价。	2026-09-11
R088	1.2.3.1	AOX1	Q06278	1-MNA氧化连接甲基吡啶酮羧酰胺类产物。	A	https://www.kegg.jp/entry/R04085	本轮已访问反应条目或人类基因/蛋白记录	KEGG C02918/R04085/R08408与人AOX1(hsa:316,Q06278)相互支持；本轮未分析AOX1表达或1-MNA清除速率。	2026-09-11
R089	3.5.1.14	ACY1	Q03154	人ACY1具有N-酰基脂肪族氨基酸水解类别注释。	B	https://enzyme.expasy.org/EC/3.5.1.14	本轮已访问反应条目或人类基因/蛋白记录	本轮以底物类别提出候选；未逐项复核该CAMP峰的构型及人源酶的该单一底物动力学，不纳入主基因池。	2026-09-11
R090	4.3.2.9	GGCT	O75223	γ-谷氨酰氨基酸环化反应释放5-氧脯氨酸和对应氨基酸。	B	https://enzyme.expasy.org/EC/4.3.2.9	本轮已访问反应条目或人类基因/蛋白记录	原条目明确列出谷氨酸衍生物；本轮未将此关系推广到全部γ-谷氨酰肽。FOLH1对γ-Glu-Glu的关系另列直接表。	2026-09-11
R091	3.1.1.23	MGLL	Q99685	人单酰甘油脂肪酶可水解长链脂肪酸的甘油单酯。	B	https://enzyme.expasy.org/EC/3.1.1.23	本轮已访问反应条目或人类基因/蛋白记录	类别层面关系；未核验每个sn位点/脂肪链对应的人源特异实验，D01947为源药物类编号，保留原值不静默改写。	2026-09-11
R092	2.3.1.21	CPT1A ; CPT1B ; CPT2	P50416 ; Q92523 ; P23786	CPT类酰基转移反应范围包括较长酰链。	B	https://enzyme.expasy.org/EC/2.3.1.21	本轮已访问反应条目或人类基因/蛋白记录	泛化自C8-C18底物范围；硬脂酰/油酰特征分别的人源酶证据未逐项复核，不与棕榈酰直接条目混合。	2026-09-11
R093	3.1.4.39	ENPP2	Q13822	溶血磷脂酶D反应连接溶血磷脂酸和相应头基。	B	https://enzyme.expasy.org/EC/3.1.4.39	本轮已访问反应条目或人类基因/蛋白记录	人ENPP2及acyl/choline类似物有类别注释；本轮未逐种确认链长、sn位点及酶底物特异性，全部放有条件表。	2026-09-11
