cancer	cohort	stage_id	run_id	analysis_version	feature_id	metabolite_key	metabolite_name	gene	uniprot_accession	relationship_type	role	reaction	mapping_status	source_url	source_evidence	provenance	original_evidence_id	source_commit	reason
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:775b2233d3a86349	KEGG:C00300	creatine	GAMT	Q14353	酶	生成产物	胍基乙酸接受SAM的甲基生成肌酸。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.1.1.2 ; https://www.uniprot.org/uniprotkb/Q14353/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0105	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:775b2233d3a86349	KEGG:C00300	creatine	SLC6A8	P48029	转运体	直接运输底物	人肌酸转运体。	DIRECT_ACCEPTED	https://rest.uniprot.org/uniprotkb/P48029.txt ; https://www.uniprot.org/uniprotkb/P48029/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0106	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	ADA	P00813	酶	生成产物	腺苷脱氨生成肌苷。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.5.4.4 ; https://www.uniprot.org/uniprotkb/P00813/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0100	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	ADA2	Q9NZK5	酶	生成产物	腺苷脱氨生成肌苷。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.5.4.4 ; https://www.uniprot.org/uniprotkb/Q9NZK5/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0101	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	PNP	P00491	酶	可逆磷酸解参与物	肌苷磷酸解连接次黄嘌呤；鸟苷磷酸解连接鸟嘌呤。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.4.2.1 ; https://www.uniprot.org/uniprotkb/P00491/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0102	f18a215dc8a269e4f16c55011633d557f069f631	本轮仅收录人PNP明确经典底物；不把黄苷或所有修饰核苷自动纳入。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	SLC29A2	Q14542	transporter	direct_transport	inosine(in) = inosine(out)	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/Q14542/entry	PubMed:10722669;12527552;16214850	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0173	f18a215dc8a269e4f16c55011633d557f069f631	Inherited CAMP identity; not reidentified by standards; not breast-specific function or proven flux.
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	product_as_written	IMP + H2O = inosine + phosphate	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""10092873""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""12907246""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0318	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	substrate_as_written	inosine + GMP = guanosine + IMP	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0319	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	substrate_as_written	dGMP + inosine = 2'-deoxyguanosine + IMP	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0320	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	substrate_as_written	dIMP + inosine = 2'-deoxyinosine + IMP	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0321	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	substrate_as_written	inosine + UMP = uridine + IMP	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0322	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	substrate_as_written	inosine + CMP = cytidine + IMP	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0323	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:2f7803a1556e67dc	KEGG:C00294	inosine	NT5C2	P49902	enzyme	substrate_as_written	inosine + AMP = IMP + adenosine	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/P49902/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""1659319""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""9371705""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0324	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:1982b9b3bdf60163	KEGG:C00140	N-acetylglucosamine	NAGK	Q9UJ70	酶	转化底物	N-乙酰葡糖胺磷酸化生成N-乙酰葡糖胺6-磷酸。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.7.1.59 ; https://www.uniprot.org/uniprotkb/Q9UJ70/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0064	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:d11a2e5ffb2b2041	KEGG:C00791	creatinine	SLC22A2	O15244	transporter	transport	creatinine(in) = creatinine(out)	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/O15244/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""15212162""}, {""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17072098""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0190	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:d11a2e5ffb2b2041	KEGG:C00791	creatinine	SLC47A1	Q96FL8	transporter	transport	creatinine(in) + H(+)(out) = creatinine(out) + H(+)(in)	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/Q96FL8/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17509534""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0191	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:d11a2e5ffb2b2041	KEGG:C00791	creatinine	SLC47A2	Q86VL8	transporter	transport	creatinine(in) + H(+)(out) = creatinine(out) + H(+)(in)	DIRECT_ACCEPTED	https://www.uniprot.org/uniprotkb/Q86VL8/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""17509534""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0192	f18a215dc8a269e4f16c55011633d557f069f631	精确反应参与物；反应书写方向不是患者内净通量方向。数据库推断/实验证据代码逐条保留；不宣称均为人类直接酶学实验。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:35a78a078fb58365	KEGG:C00077	ornithine	ARG1	P05089	酶	生成产物	精氨酸水解生成鸟氨酸和尿素。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.5.3.1 ; https://www.uniprot.org/uniprotkb/P05089/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0044	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:35a78a078fb58365	KEGG:C00077	ornithine	ARG2	P78540	酶	生成产物	精氨酸水解生成鸟氨酸和尿素。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.5.3.1 ; https://www.uniprot.org/uniprotkb/P78540/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0045	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:35a78a078fb58365	KEGG:C00077	ornithine	OAT	P04181	酶	可逆反应参与物	鸟氨酸与2-氧戊二酸转氨生成谷氨酸-5-半醛和谷氨酸。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.6.1.13 ; https://www.uniprot.org/uniprotkb/P04181/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0046	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:35a78a078fb58365	KEGG:C00077	ornithine	ODC1	P11926	酶	转化底物	鸟氨酸脱羧生成腐胺。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/4.1.1.17 ; https://www.uniprot.org/uniprotkb/P11926/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0047	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:35a78a078fb58365	KEGG:C00077	ornithine	OTC	P00480	酶	转化底物	鸟氨酸与氨甲酰磷酸生成瓜氨酸。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.1.3.3 ; https://www.uniprot.org/uniprotkb/P00480/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0048	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:890172fb1243fc69	KEGG:C04006	inositol 1-phosphate (I1P)	IMPA1	P29218	酶	水解底物	肌醇单磷酸脱磷酸生成肌醇。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.1.3.25 ; https://www.uniprot.org/uniprotkb/P29218/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0154	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:890172fb1243fc69	KEGG:C04006	inositol 1-phosphate (I1P)	IMPA2	O14732	酶	水解底物	肌醇单磷酸脱磷酸生成肌醇。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.1.3.25 ; https://www.uniprot.org/uniprotkb/O14732/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0155	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:377408288831ab8b	KEGG:C02862	butyrylcarnitine	CRAT	P43155	酶	可逆酰基转移参与物	肉碱酰基转移酶的丁酰CoA底物反应连接丁酰肉碱。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.3.1.7 ; https://www.uniprot.org/uniprotkb/P43155/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0148	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:f28abf1c0338bef2	KEGG:C05283	gamma-glutamylglutamine	GGCT	O75223	enzyme	substrate_as_written	an alpha-(gamma-L-glutamyl)-L-amino acid = 5-oxo-L-proline + an L-alpha-amino acid	CONDITIONAL	https://www.uniprot.org/uniprotkb/O75223/entry	"[{""evidenceCode"": ""ECO:0000269"", ""source"": ""PubMed"", ""id"": ""18515354""}]"	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0327	f18a215dc8a269e4f16c55011633d557f069f631	数据库为gamma-glutamyl氨基酸类反应；本轮未核实该具体二肽的人类底物实验及构型。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:366993077ce453b4	KEGG:C00187	cholesterol	SOAT1	P35610	酶	转化底物	胆固醇酰化生成胆固醇酯。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/P35610/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0077	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:366993077ce453b4	KEGG:C00187	cholesterol	SOAT2	O75908	酶	转化底物	胆固醇酰化生成胆固醇酯。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/2.3.1.26 ; https://www.uniprot.org/uniprotkb/O75908/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0078	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:f1308a1c5d4d63d9	KEGG:C00064	glutamine	ASNS	P08243	酶	供氮底物	天冬氨酸与谷氨酰胺在ATP参与下生成天冬酰胺和谷氨酸。	DIRECT_ACCEPTED	https://www.kegg.jp/entry/6.3.5.4 ; https://www.uniprot.org/uniprotkb/P08243/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0038	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
PRAD	CAMP_PRAD	02_MAPPING	20260922T142000Z_discovery_v1	prad_mapping_v1	PRAD_FEATURE:f1308a1c5d4d63d9	KEGG:C00064	glutamine	GLS	O94925	酶	转化底物	谷氨酰胺经水解生成谷氨酸和铵。	DIRECT_ACCEPTED	https://enzyme.expasy.org/EC/3.5.1.2 ; https://www.uniprot.org/uniprotkb/O94925/entry	Legacy curated tier A	BRCA reviewed human biochemistry reused; not BRCA statistical evidence	M190E0039	f18a215dc8a269e4f16c55011633d557f069f631	仅生化关系候选；未测本队列基因表达、相关性、酶活、功能或干预方向。 旧关系按既有审定复用，本轮未逐篇重审。
