cancer	stable_gene_id	gene	in_current_pool	history_only	relation_ids	n_relations	RNA_background	RNA_source_run	cell_background	sc_source_run	functional_source_ref	external_source_ref	data_limitations	next_action	status	reason	n_current_direct_relations	n_conditional_relations	historical_relation_ids	n_historical_original42_relations	historical_relation_index	RNA_effect	RNA_p	RNA_q	RNA_n	RNA_test_family	RNA_status	RNA_up_pairs	RNA_down_pairs	RNA_equal_pairs	all3_same_unique_top	all3_top_bootstrap_ge080	source_type	GSE263733_top_celltype	GSE263733_runner_celltype	GSE263733_top_gap	GSE263733_bootstrap_top_frequency	GSE263733_bootstrap_valid	GSE263733_max_detection	GSE263733_n_evaluable_celltypes	GSE263733_status	GSE263733_matrix_coverage_status	GSE263733_top_detection_fraction	GSE263733_top_source_labels	GSE278688_top_celltype	GSE278688_runner_celltype	GSE278688_top_gap	GSE278688_bootstrap_top_frequency	GSE278688_bootstrap_valid	GSE278688_max_detection	GSE278688_n_evaluable_celltypes	GSE278688_status	GSE278688_matrix_coverage_status	GSE278688_top_detection_fraction	GSE278688_top_source_labels	GSE242230_top_celltype	GSE242230_runner_celltype	GSE242230_top_gap	GSE242230_bootstrap_top_frequency	GSE242230_bootstrap_valid	GSE242230_max_detection	GSE242230_n_evaluable_celltypes	GSE242230_status	GSE242230_matrix_coverage_status	GSE242230_top_detection_fraction	GSE242230_top_source_labels
PDAC	UniProtKB:Q9BYF1	ACE2	True	False	b9085738ef175048	1	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	1	0	4ce47c597b2f9960;b9085738ef175048	2	historical_relation_index.tsv	0.1892344173494891	0.4029487047439225	0.5052199496027862	11	RNA_PAIRED_CURRENT	DONE	7	4	0	True	False	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Endothelial	0.0891490256363097	1.0	1000	0.158308200246095	7	DONE	DONE	0.158308200246095	18.0	Epithelial/Ductal	Fibroblast/CAF	0.0008084985298023	0.59	1000	0.0144090889006806	6	DONE	DONE	0.0144090889006806	12.0	Epithelial/Ductal	Fibroblast/CAF	0.0487829423867991	0.98	1000	0.0758634490066163	7	DONE	DONE	0.0758634490066163	24.0
PDAC	UniProtKB:Q5QJU3	ACER2	True	False	f0eea87dd65d4b1b	1	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	1	0		0	historical_relation_index.tsv	-0.2123940845245365	0.1158869659288157	0.2201852352647499	11	RNA_PAIRED_CURRENT	DONE	3	8	0	False	False	Expression-source descriptive only;not unique action cell	Endothelial	B/Plasma	0.0032477148006089	0.578	1000	0.0191986884491486	7	DONE	DONE	0.0191986884491486	4.0	Epithelial/Ductal	Endothelial	0.0002753711999268	0.502	1000	0.0710231857058764	6	DONE	DONE	0.0454716932295961	12.0	Epithelial/Ductal	B/Plasma	0.0168230374544079	0.99	1000	0.048829819872181	7	DONE	DONE	0.048829819872181	24.0
PDAC	UniProtKB:P53396	ACLY	False	True		0	NOMINAL_EXPLORATORY	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	0	0	34025da67aebeef7	1	historical_relation_index.tsv	0.5187682960700944	0.016897807122392	0.0755120755781894	11	RNA_PAIRED_HISTORY_SUPPLEMENT	DONE	9	2	0	False	False	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Endothelial	0.0105900405199936	0.689	1000	0.5341204059822444	7	DONE	DONE	0.5341204059822444	18.0	Epithelial/Ductal	Endothelial	0.0451402920188614	0.624	1000	0.2939273487315879	6	DONE	DONE	0.2289657421931709	12.0	Endothelial	Epithelial/Ductal	0.0166280750813923	0.328	1000	0.278837046884069	7	DONE	DONE	0.1798720320690718	3.0
PDAC	UniProtKB:P21399	ACO1	False	True		0	NOMINAL_EXPLORATORY	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	0	0	58a5dff0cdc60e7c	1	historical_relation_index.tsv	-0.3804312510831039	0.0073170766936796	0.0627805180317716	11	RNA_PAIRED_HISTORY_SUPPLEMENT	DONE	2	9	0	True	True	Expression-source descriptive only;not unique action cell	Fibroblast/CAF	Epithelial/Ductal	0.0838249428585582	0.99	1000	0.4059604205694356	7	DONE	DONE	0.4059604205694356	11.0	Fibroblast/CAF	Endothelial	0.0434952313898124	0.997	1000	0.1453783276366576	6	DONE	DONE	0.1453783276366576	13.0	Fibroblast/CAF	Endothelial	0.0253728645516116	0.868	1000	0.1987550514452856	7	DONE	DONE	0.1987550514452856	7.0
PDAC	UniProtKB:Q86TX2	ACOT1	True	False	2d1edf88ca7aaf3d;c8af3d2da4d1b9c1	2	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0		0	historical_relation_index.tsv	-0.1598927789761508	0.2496805435424004	0.3544315761780052	11	RNA_PAIRED_CURRENT	DONE	2	9	0	False	False	Expression-source descriptive only;not unique action cell	Acinar	Myeloid	0.0118793809248928	0.54	1000	0.0108695652173913	7	DONE	DONE	0.0108695652173913	4.0	NOT_EVALUABLE	NOT_EVALUABLE	NA	NA	0	0.0070570187347595	6	NOT_EVALUABLE	DONE	NA	NA	Fibroblast/CAF	Epithelial/Ductal	0.0009620549513586	0.577	1000	0.0280265423030108	7	DONE	DONE	0.0233902066740526	7.0
PDAC	UniProtKB:Q8WXI4	ACOT11	True	False	13c551d9868ab382	1	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	1	0		0	historical_relation_index.tsv	0.2536963447739518	0.1410815746330699	0.2436863561843935	11	RNA_PAIRED_CURRENT	DONE	9	2	0	True	True	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Myeloid	0.0634231489415239	1.0	1000	0.3077645489177238	7	DONE	DONE	0.3077645489177238	18.0	Epithelial/Ductal	Myeloid	0.0521339589194999	0.999	1000	0.0899134666171099	6	DONE	DONE	0.0899134666171099	12.0	Epithelial/Ductal	Myeloid	0.0624914553989332	1.0	1000	0.1466474664969149	7	DONE	DONE	0.1466474664969149	24.0
PDAC	UniProtKB:Q9NPJ3	ACOT13	True	False	3a2da23942029556;5981b99ce63fa550	2	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0		0	historical_relation_index.tsv	-0.0379213333998517	0.7220988419390246	0.7721143461425934	11	RNA_PAIRED_CURRENT	DONE	4	7	0	False	False	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Myeloid	0.0301730621561424	0.759	1000	0.5198150152846479	7	DONE	DONE	0.5198150152846479	18.0	Myeloid	Epithelial/Ductal	0.0053492733909	0.547	1000	0.1635283832160908	6	DONE	DONE	0.1527556680706329	13.0	Epithelial/Ductal	Myeloid	0.0175088377244435	0.602	1000	0.2562581294387631	7	DONE	DONE	0.2562581294387631	24.0
PDAC	UniProtKB:P49753	ACOT2	True	False	4dc588da73359bf0;a6300043e6d69457	2	FDR_SUPPORTED	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0		0	historical_relation_index.tsv	-0.3023586672005509	0.0054619545780181	0.0435194445409835	11	RNA_PAIRED_CURRENT	DONE	1	10	0	False	False	Expression-source descriptive only;not unique action cell	Endothelial	Fibroblast/CAF	0.0233285351783847	0.801	1000	0.1091011610292989	7	DONE	DONE	0.1091011610292989	4.0	Fibroblast/CAF	Myeloid	0.1007364267451635	1.0	1000	0.232149652673729	6	DONE	DONE	0.232149652673729	13.0	Fibroblast/CAF	Epithelial/Ductal	0.0787395931411754	0.969	1000	0.2492929244631654	7	DONE	DONE	0.2492929244631654	7.0
PDAC	UniProtKB:Q8N9L9	ACOT4	True	False	005e3971225b4531;5481786d303c344f	2	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	0		0	historical_relation_index.tsv	-0.0173009161208473	0.8244403782700724	0.85967181021557	11	RNA_PAIRED_CURRENT	DONE	5	6	0	False	False	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Myeloid	0.014790394013796	0.931	1000	0.1753796757499585	7	DONE	DONE	0.1753796757499585	18.0	T/NK	Epithelial/Ductal	0.0106721949005972	0.969	1000	0.0365967934799612	6	DONE	DONE	0.032639658014955	13.0	Epithelial/Ductal	Myeloid	0.0201973438190374	0.992	1000	0.0940602022750118	7	DONE	DONE	0.0940602022750118	24.0
PDAC	UniProtKB:O00154	ACOT7	False	True	538f065bab62c796;e0b071298351b82c	2	NOT_SUPPORTED_THIS_TEST	20260922T120300Z_sop_v3_internal	STUDY_DEPENDENT_OR_NOT_EVALUABLE	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	0	2		0	historical_relation_index.tsv	-0.1942545491524917	0.1820765860962743	0.3048673228327858	11	RNA_PAIRED_HISTORY_SUPPLEMENT	DONE	4	7	0	False	False	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Endothelial	0.0445366931908401	0.911	1000	0.3102811036161672	7	DONE	DONE	0.3102811036161672	18.0	Myeloid	Endothelial	0.0308543479371804	0.801	1000	0.1436771240570641	6	DONE	DONE	0.1436771240570641	13.0	Epithelial/Ductal	Myeloid	0.0235097757931187	0.868	1000	0.1461770325929691	7	DONE	DONE	0.1461770325929691	24.0
PDAC	UniProtKB:O14734	ACOT8	True	False	0f7fc38b7db0ce66;4ef39766d917755d;b352b1de3d20ed6a	3	NOMINAL_EXPLORATORY	20260922T120300Z_sop_v3_internal	ALL3_SAME_TOP_AND_BOOTSTRAP_GE080	20260922T120400Z_sop_v3_source	NOT_RUN;outside source-only SOP scope	NO_LINKED_LEGACY_EXTERNAL_GENE_RESULT	Separate currentDIRECT and supplementalRNA families;no best-relation selection;clinical overlap remains unverified	Discuss complete evidence;no mechanism claim from highest expression	DONE	All current and historical genes retained;measurement status recorded separately	2	1		0	historical_relation_index.tsv	-0.2970008979910055	0.0233348481044833	0.0900579294032403	11	RNA_PAIRED_CURRENT	DONE	3	8	0	True	True	Expression-source descriptive only;not unique action cell	Epithelial/Ductal	Fibroblast/CAF	0.0350698297908263	0.999	1000	0.3904852654104382	7	DONE	DONE	0.3904852654104382	18.0	Epithelial/Ductal	Endothelial	0.0241011413603134	0.922	1000	0.1175576664526869	6	DONE	DONE	0.1175576664526869	12.0	Epithelial/Ductal	Myeloid	0.0345106201987526	0.991	1000	0.254292839686776	7	DONE	DONE	0.254292839686776	24.0
