gene	stable_gene_id	RNA_n	RNA_n_reference	RNA_effect	RNA_ci_lower	RNA_ci_upper	RNA_p_value	RNA_q_value	RNA_status	RNA_reason	RNA_age_sex_n	RNA_age_sex_n_reference	RNA_age_sex_effect	RNA_age_sex_ci_lower	RNA_age_sex_ci_upper	RNA_age_sex_p_value	RNA_age_sex_q_value	RNA_age_sex_status	RNA_age_sex_reason	relation_ids	n_relations	n_nominal_patient_relations	RNA_background	functional_evidence	external_metabolite_validation	data_limitations	current_pool	next_action	SC_primary_status	SC_primary_reason	SC_primary_top_celltype	SC_primary_runner_celltype	SC_primary_top_gap	SC_primary_bootstrap_top_frequency	SC_primary_bootstrap_valid	SC_primary_rank_tie	SC_recurrent_status	SC_recurrent_reason	SC_recurrent_top_celltype	SC_recurrent_runner_celltype	SC_recurrent_top_gap	SC_recurrent_bootstrap_top_frequency	SC_recurrent_bootstrap_valid	SC_recurrent_rank_tie	SC_dataset	SC_independent_replication	SC_scope
SLC6A19	hsa:340024	74.0	6.0	-0.0027435373056231	-0.0095135748628157	0.0040265002515695	0.3527184201649784	0.4085655033577666	DONE	NA	74.0	6.0	-0.0025146278157689	-0.0086841095871526	0.0036548539556147	0.4194482241232917	0.4664264252251004	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:340024;GBM_FEATURE:b754e6401a70856c|hsa:340024	2	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC7A5	hsa:8140	74.0	6.0	-0.3973396403578264	-0.9468120839330278	0.152132803217375	0.1267350562899589	0.1779411396394373	DONE	NA	74.0	6.0	-0.3990082646808926	-0.8959686454806697	0.0979521161188843	0.1139457422889616	0.1667206124017438	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:8140;GBM_FEATURE:b754e6401a70856c|hsa:8140	2	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Vascular	Myeloid	0.3827554754806835	1.0	1000	False	DONE	expression_source_only;not_function	Vascular	Myeloid	0.2284702431811379	0.993	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC7A8	hsa:23428	74.0	6.0	-0.9920200284354554	-1.2143510184695112	-0.7696890384013997	3.428543344783754e-06	2.8033383819114225e-05	DONE	NA	74.0	6.0	-1.0111149852418824	-1.2620230539786816	-0.7602069165050831	9.81320411401301e-12	9.075967323624382e-11	DONE	NA	GBM_FEATURE:1432b9e82c3172bb|hsa:23428;GBM_FEATURE:b754e6401a70856c|hsa:23428	2	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Neuron	0.0087613125568445	0.558	1000	False	DONE	expression_source_only;not_function	Myeloid	Neuron	0.0430151634036549	0.885	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ADO	hsa:84890	74.0	6.0	-0.8468222435751729	-1.2928430646924234	-0.4008014224579224	0.0035704008779606	0.009526076843892	DONE	NA	74.0	6.0	-0.845232567965135	-1.235039063205517	-0.455426072724753	4.685166303988463e-05	0.000148008662785	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:84890	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Oligodendrocyte	Vascular	0.0356957158614405	1.0	1000	False	DONE	expression_source_only;not_function	Oligodendrocyte	Myeloid	0.021331152440699	1.0	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
CSAD	hsa:51380	74.0	6.0	-0.0257429840265146	-0.7211905978275894	0.6697046297745601	0.9286801973857024	0.9422375725300192	DONE	NA	74.0	6.0	-0.0286499298301368	-0.619718032308193	0.5624181726479192	0.9233464134100936	0.9300373294492972	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:51380	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	Astrocyte	0.0050666124800612	0.391	1000	False	DONE	expression_source_only;not_function	Neoplastic	Neuron	0.03527051070542	0.891	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
FMO1	hsa:2326	74.0	6.0	0.0262014269237995	-0.0040153910486734	0.0564182448962725	0.0873606999980962	0.1291823116993125	DONE	NA	74.0	6.0	0.0303799893122097	-0.013242505755048	0.0740024843794675	0.1694782260548904	0.2287133341905803	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:2326	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	NOT_EVALUABLE	fewer_than2_categories_or_detection_below1percent	NA	NA	NA	NA	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
FMO3	hsa:2328	74.0	6.0	0.1090783598967508	-0.0053143896201137	0.2234711094136154	0.0597867389246535	0.096632054773568	DONE	NA	74.0	6.0	0.1209743796573263	-0.0133021286574474	0.2552508879721001	0.0767312748550951	0.1150905594001621	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:2328	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	OPC	Neuron	0.0207332016035927	0.824	1000	False	DONE	expression_source_only;not_function	OPC	Vascular	0.0047327140371708	0.644	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
GADL1	hsa:339896	74.0	6.0	0.0002273196909242	-0.0056263520459891	0.0060809914278377	0.937887767639174	0.9446840558104724	DONE	NA	74.0	6.0	0.0003856315643802	-0.0069031980133166	0.007674461142077	0.9163568087943934	0.9297342804556256	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:339896	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0193296605339581	0.932	1000	False	DONE	expression_source_only;not_function	Neuron	Neoplastic	0.0084252380368657	0.925	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC6A1	hsa:6529	74.0	6.0	-2.2355671636109955	-2.5053804887540023	-1.965753838467989	5.3531275793980344e-18	2.480282445121089e-16	DONE	NA	74.0	6.0	-2.18300429399494	-2.4450263709357403	-1.9209822170541395	5.5561975342763446e-27	3.8615572863220597e-25	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:6529	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Oligodendrocyte	OPC	0.0049631326225608	0.474	1000	False	DONE	expression_source_only;not_function	OPC	Oligodendrocyte	0.0030543150423191	0.543	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC6A11	hsa:6538	74.0	6.0	-0.5494433459449296	-0.8346973840836542	-0.2641893078062049	0.001365657841625	0.0041833916096363	DONE	NA	74.0	6.0	-0.5258622290368207	-0.8365021459449701	-0.2152223121286712	0.001177707349281	0.0025578331492198	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:6538	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.0863802323996325	0.948	1000	False	DONE	expression_source_only;not_function	Astrocyte	Neoplastic	0.1086304748853097	0.991	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC6A13	hsa:6540	74.0	6.0	-0.7062686145679935	-1.0744724485262311	-0.3380647806097558	0.0041737534970234	0.0103539428806631	DONE	NA	74.0	6.0	-0.7037423674417327	-1.0367659465258197	-0.3707187883576456	6.964783389350223e-05	0.000210457585026	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:6540	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.0433025927826838	0.929	1000	False	DONE	expression_source_only;not_function	Vascular	Astrocyte	0.0680325698061562	0.993	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
SLC6A6	hsa:6533	74.0	6.0	0.0513934978433434	-0.4032615201511345	0.5060485158378214	0.7974554987328722	0.8334309347659341	DONE	NA	74.0	6.0	0.0345195818145657	-0.4355481083790102	0.5045872720081418	0.8841040618481423	0.9036063573300864	DONE	NA	GBM_FEATURE:169ff670f3c26bd2|hsa:6533	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Myeloid	Oligodendrocyte	0.0060980013524286	0.343	1000	False	DONE	expression_source_only;not_function	Oligodendrocyte	Lymphoid	0.0481203082054651	0.844	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ACLY	hsa:47	74.0	6.0	0.6221692287779694	0.2191653451649683	1.0251731123909704	0.009174814068674	0.0184825964571839	DONE	NA	74.0	6.0	0.6288774517022505	0.2669336924764817	0.9908212109280192	0.0008875961692469	0.0019899333471827	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:47	1	0	FDR_SUPPORTED_EXPLORATORY_TPM	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Neoplastic	OPC	0.0264399203030574	0.887	1000	False	DONE	expression_source_only;not_function	Neoplastic	Vascular	0.0486761022013295	0.992	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
ACO1	hsa:48	74.0	6.0	0.155192072052509	-0.1654675148527072	0.4758516589577253	0.2842259881638013	0.3485023688351434	DONE	NA	74.0	6.0	0.162073542487635	-0.145141602939774	0.4692886879150442	0.2967162948074803	0.3617856577038576	DONE	NA	GBM_FEATURE:3373c499464b3190|hsa:48	1	0	NOT_SUPPORTED_THIS_TEST	NOT_RUN	NOT_RUN	6 unmatched GTEx references;cohort confounding;current biochemical catalog incomplete;sc source descriptive only	True	retain full candidate;do not infer function from expression	DONE	expression_source_only;not_function	Astrocyte	Oligodendrocyte	0.067532740653639	0.988	1000	False	DONE	expression_source_only;not_function	Astrocyte	Vascular	0.0845344045644263	0.998	1000	False	CARE2025_GSE274546	False	primary main;recurrent same-cohort context;source expression only
